Time	p3	p5	p8
0	1	1	1
0.5	1.5455	1.0811	1.6567
1	2.964	1.3535	3.3109
1.5	4.8901	1.7337	5.4689
2	7.0301	2.1693	7.767
2.5	9.1362	2.6285	9.871
3	11.0378	3.0926	11.496
3.5	12.6482	3.5506	12.5277
4	13.9442	3.9962	13.0292
4.5	14.9411	4.4261	13.1361
5	15.6727	4.8387	12.9783
5.5	16.179	5.2334	12.6549
6	16.4993	5.6101	12.2348
6.5	16.6686	5.9693	11.7631
7	16.7171	6.3114	11.2685
7.5	16.6698	6.6372	10.7692
8	16.5472	6.9472	10.2759
8.5	16.3659	7.2421	9.7952
9	16.1392	7.5227	9.3306
9.5	15.8777	7.7897	8.8841
10	15.5902	8.0436	8.4564
10.5	15.2835	8.2851	8.0477
11	14.9631	8.5148	7.6577
11.5	14.6335	8.7333	7.286
12	14.2985	8.941	6.9319
12.5	13.9607	9.1386	6.5947
13	13.6228	9.3265	6.2737
13.5	13.2864	9.5052	5.9682
14	12.9532	9.6751	5.6774
14.5	12.6244	9.8367	5.4008
15	12.301	9.9903	5.1377
15.5	11.9838	10.1363	4.8873
16	11.6734	10.2751	4.6491
16.5	11.3702	10.407	4.4224
17	11.0746	10.5324	4.2069
17.5	10.7868	10.6516	4.0018
18	10.5071	10.7648	3.8067
18.5	10.2355	10.8723	3.6211
19	9.972	10.9744	3.4445
19.5	9.7168	11.0714	3.2766
20	9.4697	11.1634	3.1169
