Time	p3	p5	p8
0	1	1	1
0.5	3.60205	2.05815	2.85036
1	7.99039	4.68457	7.34425
1.5	11.3669	8.16846	13.0985
2	13.4622	12.0797	18.7865
2.5	14.5848	16.1618	23.1979
3	15.0496	20.2638	25.9388
3.5	15.0907	24.298	27.2844
4	14.8677	28.2153	27.6542
4.5	14.4852	31.9894	27.395
5	14.011	35.6083	26.7516
5.5	13.488	39.0676	25.8856
6	12.9434	42.3681	24.9007
6.5	12.3944	45.5134	23.8619
7	11.8514	48.5084	22.8094
7.5	11.3209	51.359	21.7676
8	10.8065	54.0711	20.7508
8.5	10.3105	56.6511	19.7672
9	9.83371	59.1051	18.8212
9.5	9.37662	61.439	17.9146
10	8.93912	63.6586	17.0479
10.5	8.52089	65.7694	16.2206
11	8.12143	67.7768	15.4319
11.5	7.74013	69.6857	14.6804
12	7.37637	71.5009	13.9648
12.5	7.02946	73.2272	13.2835
13	6.69872	74.8687	12.6352
13.5	6.38348	76.4298	12.0182
14	6.08307	77.9142	11.4311
14.5	5.79684	79.3258	10.8726
15	5.52415	80.6682	10.3413
15.5	5.2644	81.9447	9.83592
16	5.017	83.1586	9.35516
16.5	4.78138	84.3129	8.89785
17	4.557	85.4106	8.46288
17.5	4.34333	86.4545	8.04915
18	4.13988	87.4471	7.65564
18.5	3.94617	88.3911	7.28136
19	3.76174	89.2887	6.92539
19.5	3.58616	90.1423	6.58682
20	3.419	90.954	6.26481
