Time	p3	p5	p8
0	1	1	1
0.5	2.0869	0.9732	2.6006
1	5.0641	1.1702	6.4549
1.5	9.346	2.28	11.218
2	13.4704	3.9918	15.6427
2.5	16.5183	6.0407	19.0013
3	18.4752	8.2671	21.2178
3.5	19.6027	10.5747	22.5163
4	20.1577	12.9059	23.1594
4.5	20.3337	15.2264	23.3606
5	20.265	17.5161	23.2738
5.5	20.041	19.7635	23.0038
6	19.7203	21.9621	22.6202
6.5	19.341	24.1088	22.1683
7	18.9277	26.2022	21.6774
7.5	18.496	28.242	21.1664
8	18.0562	30.2287	20.6472
8.5	17.6147	32.163	20.1274
9	17.1758	34.0461	19.612
9.5	16.742	35.8789	19.1039
10	16.3152	37.6628	18.6049
10.5	15.8963	39.399	18.1162
11	15.486	41.0887	17.6385
11.5	15.0847	42.7331	17.1719
12	14.6925	44.3335	16.7167
12.5	14.3096	45.8909	16.2728
13	13.9359	47.4066	15.8401
13.5	13.5713	48.8816	15.4185
14	13.2158	50.3171	15.0078
14.5	12.8691	51.7141	14.6078
15	12.5312	53.0736	14.2182
15.5	12.2019	54.3966	13.8389
16	11.881	55.6841	13.4695
16.5	11.5684	56.9371	13.1098
17	11.2637	58.1565	12.7597
17.5	10.967	59.3432	12.4188
18	10.6779	60.4981	12.087
18.5	10.3964	61.622	11.7639
19	10.1222	62.7157	11.4495
19.5	9.8551	63.7801	11.1434
20	9.595	64.816	10.8454
		
