Time	p3	p5	p8
0	1	1	1
0.5	4.71541	2.55687	2.10842			
1	11.17078	6.65676	5.03232			
1.5	15.71995	12.09322	8.88996	
2	18.22451	18.13451	13.15997		
2.5	19.30122	24.35074	17.27365		
3	19.47373	30.49580	19.79360			
3.5	19.10168	36.43364	20.70246			
4	18.41721	42.09369	20.64609			
4.5	17.56609	47.44405	20.05057		
5	16.63817	52.47531	19.17029			
5.5	15.68797	57.19089	18.15517			
6	14.74787	61.60128	17.09255			
6.5	13.83660	65.72067	16.03247		
7	12.96439	69.56487	15.00278			
7.5	12.13632	73.15023	14.01819			
8	11.35432	76.49289	13.08568			
8.5	10.61842	79.60848	12.20772			
9	9.92756	82.51189	11.38418			
9.5	9.28006	85.21720	10.61352			
10	8.67387	87.73763	9.89343			
10.5		8.10684	90.08559	9.22124		
11	7.57674	92.27267	8.59415			
11.5		7.08137	94.30968	8.00935			
12	6.61862	96.20673	7.46415			
12.5		6.18645	97.97320	6.95593		
13	5.78291	99.61785	6.48225			
13.5		5.40616	101.14884	6.04077			
14	5.05448	102.57374	5.62934			
14.5		4.72622	103.89962	5.24591			
15	4.41986	105.13304	4.88859			
15.5		4.13395	106.28008	4.55561			
16	3.86715	107.34642	4.24530			
16.5		3.61820	108.33730	3.95612			
17	3.38591	109.25760	3.68664			
17.5		3.16917	110.11184	3.43552			
18	2.96696	110.90421	3.20150			
18.5		2.77831	111.63857	2.98343		
19	2.60231	112.31851	2.78020			
19.5		2.43812	112.94731	2.59082			
20	2.28495	113.52801	2.41434	
