Time	p3	p5	p8
0	1	1	1
0.5	3.817	1.949	2.324
1	8.699	4.299	5.711
1.5	12.418	7.408	10.299
2	14.751	10.925	15.065
2.5	15.973	14.605	18.837
3	16.454	18.308	21.204
3.5	16.511	21.938	22.422
4	16.288	25.469	22.766
4.5	15.884	28.886	22.577
5	15.364	32.169	22.048
5.5	14.781	35.313	21.348
6	14.176	38.32	20.592
6.5	13.573	41.188	19.797
7	12.98	43.922	18.988
7.5	12.395	46.505	18.164
8	11.857	48.962	17.351
8.5	11.323	51.301	16.582
9	10.81	53.527	15.839
9.5	10.319	55.644	15.126
10	9.848	57.66	14.446
10.5	9.392	59.577	13.806
11	8.956	61.401	13.188
11.5	8.54	63.137	12.587
12	8.143	64.788	12.013
12.5	7.765	66.359	11.465
13	7.403	67.854	10.939
13.5	7.059	69.276	10.435
14	6.73	70.629	9.952
14.5	6.417	71.916	9.487
15	6.118	73.14	9.039
15.5	5.83	74.306	8.618
16	5.556	75.414	8.22
16.5	5.296	76.469	7.841
17	5.047	77.472	7.476
17.5	4.81	78.427	7.121
18	4.585	79.335	6.783
18.5	4.371	80.199	6.461
19	4.168	81.021	6.154
19.5	3.974	81.803	5.871
20	3.79	82.548	5.601
