Time	p3	p5	p8
0	1	1	1
0.5	3.6282458131	1.9801963438	3.0097190541
1	8.0461563269	4.4337182687	8.6235001939
1.5	11.3792655733	7.6961710663	15.6463265363
2	13.3978438324	11.3625920179	21.270454269
2.5	14.44373548	15.1922346744	24.7258553699
3	14.8455860448	19.0420839758	26.4500984591
3.5	14.8386977117	22.8301746251	27.0169198796
4	14.5821567094	26.509559674	26.8641401787
4.5	14.1780844351	30.0555924141	26.2827064293
5	13.690694753	33.4568230028	25.4553454566
5.5	13.1613263896	36.709128038	24.4986462132
6	12.6151917945	39.8131529989	23.4826740539
6.5	12.0680154845	42.7720601954	22.450447153
7	11.5293995427	45.5904470817	21.4277557657
7.5	11.0049293931	48.2736907687	20.4293359378
8	10.4978592643	50.8274665738	19.4636338647
8.5	10.0098727042	53.2575405825	18.5349517933
9	9.541693833	55.5696138534	17.6451465224
9.5	9.0934723444	57.7692368861	16.7946426903
10	8.6649723327	59.8617725134	15.9829459233
10.5	8.2557458712	61.8523683227	15.2090793099
11	7.8652098069	63.7459509071	14.4717715587
11.5	7.4927073915	65.547224135	13.7696097108
12	7.1375462222	67.2606732628	13.1011193739
12.5	6.799019945	68.8905713	12.4648165415
13	6.4764237222	70.4409867646	11.8592363493
13.5	6.1690645529	71.915792224	11.2829534206
14	5.8762653482	73.3186726116	10.7345886924
14.5	5.5973699622	74.6531340898	10.2128167958
15	5.3317456554	75.9225125116	9.7163676552
15.5	5.0787807411	77.1299804729	9.2440255116
16	4.8378906949	78.2785570081	8.7946304876
16.5	4.6085137972	79.3711135367	8.367075634
17	4.3901096005	80.4103802021	7.9603052654
17.5	4.1821645167	81.3989553945	7.573313856
18	3.984187716	82.339310746	7.2051435447
18.5	3.7957061105	83.2337951892	6.8548820656
19	3.6162695979	84.0846434703	6.521660804
19.5	3.4454514387	84.893981908	6.204652794
20	3.2828425349	85.6638319651	5.9030710562

