Time	p3	p5	p8
0	1.000000	1.000000	1.000000
0.5	3.640279	2.001826	2.975355
1	8.211702	4.563439	7.734663
1.5	11.792510	7.994000	13.711966
2	14.040763	11.862050	19.398397
2.5	15.263544	15.909996	23.642608
3	15.788817	19.985674	26.221151
3.5	15.862982	24.000682	27.466377
4	15.654666	27.905109	27.789770
4.5	15.274934	31.672212	27.519496
5	14.795570	35.289126	26.885052
5.5	14.262411	38.751249	26.038301
6	13.704483	42.058835	25.076928
6.5	13.139998	45.214937	24.062587
7	12.580263	48.224171	23.033605
7.5	12.032181	51.091965	22.013406
8	11.499854	53.824115	21.015987
8.5	10.985599	56.426520	20.049407
9	10.490604	58.905029	19.118032
9.5	10.015335	61.265349	18.223902
10	9.559794	63.513003	17.367606
10.5	9.123714	65.653297	16.548920
11	8.706634	67.691317	15.767030
11.5	8.307995	69.631925	15.020859
12	7.927181	71.479758	14.309165
12.5	7.563529	73.239245	13.630583
13	7.216379	74.914599	12.983766
13.5	6.885064	76.509841	12.367337
14	6.568921	78.028799	11.779943
14.5	6.267308	79.475118	11.220281
15	5.979598	80.852269	10.687091
15.5	5.705183	82.163557	10.179148
16	5.443474	83.412130	9.695282
16.5	5.193906	84.600984	9.234370
17	4.955934	85.732973	8.795341
17.5	4.729035	86.810811	8.377166
18	4.512708	87.837082	7.978864
18.5	4.306470	88.814240	7.599502
19	4.109862	89.744631	7.238184
19.5	3.922443	90.630486	6.894058
20	3.743789	91.473925	6.566310
